"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"ygiM","","putative signal transduction protein (SH3 domain)","2","2","1","91","1037","","","","620","620","620","upec-98_01923","upec-99_04255"
"pspB","","stimulates PspC-mediated transcriptional activation of the psp operon; antitoxin of a PspC-PspB toxin-antitoxin pair","2","2","1","91","1719","","","","224","224","224","upec-98_02112","upec-99_01818"
"fimC","","periplasmic chaperone, required for type 1 fimbriae","2","2","1","91","1159","","","","725","725","725","upec-98_02013","upec-99_04631"
"rlmB","","23S rRNA 2'-O-ribose methyltransferase monomer","2","2","1","91","320","","","","731","731","731","upec-98_02734","upec-99_04029"
"metK_2","","methionine adenosyltransferase","2","2","1","90","328","","","","1154","1154","1154","upec-98_03031","upec-99_01732"
"yeiS","","putative inner membrane protein","2","2","1","90","1215","","","","239","239","239","upec-98_01377","upec-99_02922"
"group_306","","hypothetical protein","2","2","1","90","1189","","","","1136","1136","1136","upec-98_01401","upec-99_02897"
"group_3060","","hypothetical protein","2","2","1","91","825","","","","452","452","452","upec-98_02481","upec-99_01490"
"hha_1","","haemolysin expression modulating protein","2","2","1","87","82","","","","218","218","218","upec-98_03923","upec-99_01407"
"argP","","ArgP transcriptional activator","2","2","1","90","359","","","","893","893","893","upec-98_03058","upec-99_01709"
"cadB","","cadaverine:H  symporter / lysine:cadaverine antiporter","2","2","1","91","274","","","","1334","1334","1334","upec-98_04195","upec-99_03978"
"grcA","","stress-induced alternate pyruvate formate-lyase subunit","2","2","1","90","550","","","","383","383","383","upec-98_03726","upec-99_01972"
"group_3065","","hypothetical protein","2","2","1","88","208","","","","176","176","176","upec-98_00675","upec-99_02809"
"yggX","","protein that protects iron-sulfur proteins against oxidative damage","2","2","1","90","308","","","","275","275","275","upec-98_03011","upec-99_01752"
"rplF","","50S ribosomal subunit protein L6","2","2","1","81","35","","","","533","533","533","upec-98_00093","upec-99_02693"
"napH","","ferredoxin-type protein","2","2","1","90","986","","","","863","863","863","upec-98_01319","upec-99_02981"
"group_3069","","hypothetical protein","2","2","1","90","317","","","","290","290","290","upec-98_03020","upec-99_01743"
"yehM","","putative protein","2","2","1","90","1188","","","","2276","2279","2277","upec-98_01402","upec-99_02896"
"ypeB","","putative protein","2","2","1","90","709","","","","218","218","218","upec-98_03579","upec-99_03124"
"fimE","","regulator for fimA","2","2","1","91","1156","","","","596","596","596","upec-98_02016","upec-99_04628"
"ogt","","Ogt","2","2","1","91","1755","","","","515","515","515","upec-98_02142","upec-99_01849"
"group_3073","","hypothetical protein","2","2","1","89","358","","","","662","662","662","upec-98_04574","upec-99_03388"
"rimM","","ribosome maturation protein","2","2","1","90","79","","","","548","548","548","upec-98_03401","upec-99_01148"
"yddM","","putative DNA-binding transcriptional regulator","2","2","1","80","25","","","","284","284","284","upec-98_01114","upec-99_00235"
"fimZ_6","","FimZ transcriptional regulator","2","2","1","91","1617","","","","650","650","650","upec-98_04849","upec-99_03042"
"yejB","","peptide ABC transporter - membrane subunit","2","2","1","90","1011","","","","1094","1094","1094","upec-98_01344","upec-99_02956"
"mazE_2","","MazE antitoxin of the MazF-MazE toxin-antitoxin system","2","2","1","90","522","","","","248","248","248","upec-98_03200","upec-99_00956"
"group_3079","","hypothetical protein","2","2","1","84","14","","","","1379","1379","1379","upec-98_02577","upec-99_00218"
"yehD","","putative fimbrial-like adhesin protein","2","2","1","90","1180","","","","542","542","542","upec-98_01411","upec-99_01205"
"rdgB","","dITP/XTP pyrophosphatase","2","2","1","90","316","","","","593","593","593","upec-98_03019","upec-99_01744"
"flgC","","flagellar basal-body rod protein FlgC","2","2","1","89","256","","","","404","404","404","upec-98_04671","upec-99_00276"
"rsmH","","16S rRNA methyltransferase","2","2","1","91","1339","","","","941","941","941","upec-98_02976","upec-99_04479"
"tesA","","multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1","2","2","1","87","42","","","","593","593","593","upec-98_03882","upec-99_00754"
"glyA","","serine hydroxymethyltransferase","2","2","1","90","579","","","","1253","1253","1253","upec-98_03696","upec-99_02000"
"group_3085","","hypothetical protein","2","2","1","91","252","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","89","89","89","upec-98_04174","upec-99_03956"
"glnH","","glutamine ABC transporter - periplasmic binding protein","2","2","1","89","501","","","","746","746","746","upec-98_04425","upec-99_03234"
"glpX","","fructose 1,6-bisphosphatase II","2","2","1","85","100","","","","1010","1010","1010","upec-98_00215","upec-99_04144"
"atpF","","ATP synthase F0 complex - b subunit","2","2","1","91","591","","","","470","470","470","upec-98_02548","upec-99_02643"
"nuoI","","NADH:ubiquinone oxidoreductase, chain I","2","2","1","90","901","","","","542","542","542","upec-98_01246","upec-99_01612"
"yehC","","putative fimbrial chaperone","2","2","1","90","1179","","","","668","674","671","upec-98_01412","upec-99_01206"
"nsrR","","NsrR-nitric oxide","2","2","1","91","318","","","","425","425","425","upec-98_02732","upec-99_04027"
"rplL","","50S ribosomal protein L7/L12","2","2","1","78","7","","","","365","365","365","upec-98_00852","upec-99_00042"
"ydiH","","putative protein","2","2","1","88","196","","","","188","188","188","upec-98_00687","upec-99_02822"
"yahN","","putative neutral amino acid efflux system","2","2","1","87","266","","","","632","632","632","upec-98_03831","upec-99_03844"
"ygfB","","putative protein","2","2","1","90","365","","","","578","578","578","upec-98_03064","upec-99_01703"
"group_3095","fimZ_2","FimZ transcriptional regulator","2","2","1","90","972","","","","650","650","650","upec-98_01305","upec-99_02994"
"sdhD","","succinate dehydrogenase membrane protein","2","2","1","89","586","","","","347","347","347","upec-98_04342","upec-99_03151"
"rpmE","","50S ribosomal subunit protein L31","2","2","1","85","89","","","","212","212","212","upec-98_00204","upec-99_04155"
"arnA","","fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4''-decarboxylase","2","2","1","90","931","","","","1055","1982","1518","upec-98_01269","upec-99_03033"
"yehB_1","","putative outer membrane usher protein","2","2","1","90","1178","","","","2480","2480","2480","upec-98_01413","upec-99_01207"
"deoA","","thymidine phosphorylase / uracil phosphorylase","2","2","1","91","1444","","","","1322","1322","1322","upec-98_02876","upec-99_04696"
"crr","","glucose PTS permease","2","2","1","90","702","","","","509","509","509","upec-98_03586","upec-99_03117"
"coaD","","pantetheine-phosphate adenylyltransferase monomer","2","2","1","91","761","","","","479","479","479","upec-98_02417","upec-99_01548"
"yafN","","antitoxin of the YafO-YafN toxin-antitoxin system","2","2","1","87","191","","","","293","293","293","upec-98_03762","upec-99_02360"
"ibpB","","small heat shock protein IbpB","2","2","1","91","847","","","","428","428","428","upec-98_02499","upec-99_02485"
"yobH","","putative protein","2","2","1","88","330","","","","239","239","239","upec-98_00555","upec-99_01291"
"pnp","","polynucleotide phosphorylase monomer","2","2","1","91","942","","","","2135","2135","2135","upec-98_01828","upec-99_04356"
"group_3109","yedW_12","putative DNA-binding response regulator in two-component system with YedV","2","2","1","91","1076","","","","659","659","659","upec-98_01961","upec-99_04228"
"yehA","","putative type-1 fimbrial protein","2","2","1","90","1177","","","","1034","1034","1034","upec-98_01414","upec-99_01208"
"gapA_1","","glyceraldehyde 3-phosphate dehydrogenase-A monomer","2","2","1","88","290","","","","995","995","995","upec-98_00595","upec-99_01666"
"yacG","","DNA gyrase inhibitor YacG","2","2","1","91","1320","","","","197","197","197","upec-98_02994","upec-99_04498"
"rpsO","","30S ribosomal subunit protein S15","2","2","1","91","941","","","","269","269","269","upec-98_01827","upec-99_04357"
"group_3113","","hypothetical protein","2","2","1","90","830","","","","284","284","284","upec-98_03470","upec-99_00661"
"group_3114","","hypothetical protein","2","2","1","86","123","","","","404","404","404","upec-98_00892","upec-99_00083"
"ibpA","","small heat shock protein IbpA","2","2","1","91","848","","","","413","413","413","upec-98_02500","upec-99_02484"
"rpsE","","30S ribosomal subunit protein S5","2","2","1","81","33","","","","503","503","503","upec-98_00091","upec-99_02691"
"higA","","antitoxin of the HigB-HigA toxin-antitoxin system","2","2","1","90","214","","","","419","419","419","upec-98_03266","upec-99_04743"
"uhpT","","hexose-6-phosphate:phosphate antiporter","2","2","1","91","828","","","","1391","1391","1391","upec-98_02484","upec-99_01493"
"purF","","amidophosphoribosyl transferase","2","2","1","90","867","","","","1517","1517","1517","upec-98_01214","upec-99_00691"
"thiM","","hydroxyethylthiazole kinase","2","2","1","90","1159","","","","788","788","788","upec-98_01432","upec-99_01212"
"yfdV","","YfdV AEC Transporter","2","2","1","90","741","","","","944","944","944","upec-98_03546","upec-99_00633"
"hokE_3","","HokE","2","2","1","90","267","","","","152","152","152","upec-98_03225","upec-99_00981"
"cspD","","DNA replication inhibitor","2","2","1","89","431","","","","224","224","224","upec-98_04493","upec-99_03305"
"murJ","","lipid II flippase","2","2","1","89","261","","","","1535","1535","1535","upec-98_04666","upec-99_00271"
"hisH","","imidazole glycerol phosphate synthase, HisH subunit","2","2","1","90","1066","","","","590","590","590","upec-98_01510","upec-99_00502"
"puuA","","glutamate-putrescine ligase","2","2","1","85","18","","","","1409","1409","1409","upec-98_00267","upec-99_04086"
"hypC","","protein involved in hydrogenase 3 maturation","2","2","1","90","227","","","","272","272","272","upec-98_03254","upec-99_02223"
"rplT","","50S ribosomal subunit protein L20","2","2","1","88","227","","","","356","356","356","upec-98_00656","upec-99_02790"
"pepE","","peptidase E, a dipeptidase where amino-terminal residue is aspartate","2","2","1","91","138","","","","689","689","689","upec-98_04054","upec-99_02289"
"yhbJ","","putative P-loop containing ATPase","2","2","1","91","903","","","","854","854","854","upec-98_01787","upec-99_04397"
"yegX","","putative hydrolase","2","2","1","90","1157","","","","818","818","818","upec-98_01434","upec-99_01214"
"yihY","","putative inner membrane protein","2","2","1","85","42","","","","872","872","872","upec-98_00256","upec-99_04102"
"csgF","","curli assembly component","2","2","1","89","291","","","","416","416","416","upec-98_04636","upec-99_00241"
"gadE","","GadE DNA-binding transcriptional activator","2","2","1","86","24","","","","527","527","527","upec-98_01063","upec-99_01675"
"group_3133","","hypothetical protein","2","2","1","84","9","","","","485","485","485","upec-98_02572","upec-99_00223"
"rpsU","","30S ribosomal subunit protein S21","2","2","1","91","1027","","","","215","215","215","upec-98_01913","upec-99_04265"
"eda","","multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase","2","2","1","88","434","","","","641","641","641","upec-98_00530","upec-99_01318"
"group_3136","","hypothetical protein","2","2","1","87","310","","","","101","101","101","upec-98_04005","upec-99_01914"
"lexA_2","","LexA DNA-binding transcriptional repressor","2","2","1","91","165","","","","608","608","608","upec-98_04082","upec-99_03883"
"yjdO","","putative protein","2","2","1","91","270","","","","173","173","173","upec-98_04191","upec-99_03974"
"xylR","","XylR transcriptional activator","2","2","1","91","687","","","","1178","1178","1178","upec-98_02357","upec-99_01939"
"yegU","","putative hydrolase","2","2","1","90","1154","","","","1004","1004","1004","upec-98_01437","upec-99_01217"
"ihfB","","integration host factor (IHF), beta subunit","2","2","1","89","403","","","","284","284","284","upec-98_04529","upec-99_03336"
"dcuB","","dicarboxylate transporter DcuB","2","2","1","91","264","","","","1340","1340","1340","upec-98_04185","upec-99_03968"
"yjbE","","putative protein","2","2","1","91","143","","","","242","242","242","upec-98_04066","upec-99_02294"
"yebF","","putative protein","2","2","1","88","437","","","","356","356","356","upec-98_00533","upec-99_01314"
"mlaF","","phospholipid ABC transporter","2","2","1","91","913","","","","809","809","809","upec-98_01797","upec-99_04387"
"group_3145","","hypothetical protein","2","2","1","89","659","","","","482","482","482","upec-98_04279","upec-99_03593"
"lolA","","periplasmic chaperone, effects translocation of lipoproteins from inner membrane to outer","2","2","1","89","421","","","","611","611","611","upec-98_04511","upec-99_03315"
"secE","","Sec Translocation Complex","2","2","1","78","2","","","","383","383","383","upec-98_00847","upec-99_00037"
"moaC","","MoaC monomer","2","2","1","89","529","","","","485","485","485","upec-98_04398","upec-99_03206"
"ybbN_3","","chaperone and weak protein oxidoreductase","2","2","1","82","26","","","","329","329","329","upec-98_00318","upec-99_03630"
"yegS","","lipid kinase","2","2","1","90","1136","","","","899","899","899","upec-98_01447","upec-99_01229"
